ID_UEV,TYPE,NOM,ARRONDISSE,ADRESSE,PROPRIETE,GESTION,POINT_X,POINT_Y,EQUIPEME,LONG,LAT
3114253,Piscine intérieure,Complexe sportif Claude-Robillard,Ahuntsic-Cartierville,"1 000, Avenue Émile-Journeault Est",Municipale,Municipale,"294151,2717",5045855457,Complexe aquatique,-73.63639,45.552526
5015454,Pataugeoire,Saint-Jean-Baptiste,Rivière-des-Prairies–Pointe-aux-Trembles,"1 048, Boulevard Saint-Jean-Baptiste",Municipale,Municipale,"304846,2071","5055625,72",,-73.49941,45.640521
